,Title,Rhythm,Year of Composition,Music Composer,Lyrics Composer,Genre,Vocalist,Ensemble,Instrumentalist,Recording Info,Duration,File ID
6160,Sus ojos se cerraron,Tango,1935,Carlos Gardel,Alfredo Le Pera,Tango,Carlos Gardel,Orquesta,Terig Tucci,19-3-1935 New York Victor BVE-89225/1,02:47,1106
6161,Sus ojos se cerraron,Tango,1935,Carlos Gardel,Alfredo Le Pera,Tango,Nelly Omar,Orquesta,Francisco Canaro,26-3-1947 Buenos Aires Odeon 5294 16335,,
6162,Sus ojos se cerraron,Tango,1935,Carlos Gardel,Alfredo Le Pera,Tango,Rosanna Falasca,Orquesta,Lito Escarso,1971 Buenos Aires Diapasón,,
6163,Sus ojos se cerraron,Tango,1935,Carlos Gardel,Alfredo Le Pera,Tango,Luis Cardei,,,1998 Buenos Aires DBN CDM-51.586,,
6164,T.B.C.,Tango,1928,Ascanio Donato,"Víctor Soliño, Roberto Fontaina",Tango,Lalo Martel,Orquesta,Alfredo De Angelis,19-10-1960 Buenos Aires Odeon 52658-B 25809,02:49,4033
6165,T.B.C.,Tango,1928,Ascanio Donato,"Víctor Soliño, Roberto Fontaina",Tango,Instrumental,Sexteto,Carlos Di Sarli,26-11-1928 Buenos Aires RCA-Victor 47003 44386,,
6166,T.B.C.,Tango,1928,Ascanio Donato,"Víctor Soliño, Roberto Fontaina",Tango,Roberto Chanel,Orquesta,Florindo Sassone,5-12-1952 Buenos Aires RCA-Victor 63-0252 0303,,
6167,Tabaco,Tango,1944,Armando Pontier,José María Contursi,Tango,Francisco Fiorentino,Orquesta,Aníbal Troilo,30-3-1944 Buenos Aires RCA-Victor 60-0400 79596,,
6168,Tabaco,Tango,1944,Armando Pontier,José María Contursi,Tango,Julio Sosa,Orquesta,Leopoldo Federico,23-4-1963 Buenos Aires CBS-Columbia 8425 3729,,
6169,Tabaco,Tango,1944,Armando Pontier,José María Contursi,Tango,Libertad Lamarque,Orquesta,Mario Maurano,22-5-1944 Buenos Aires,02:50,1961
6170,Tabaco,Tango,1944,Armando Pontier,José María Contursi,Tango,Raúl Iriarte,Orquesta,Miguel Caló,14-6-1944 Buenos Aires Odeon 8389 13871,,
6171,Tabaco rubio,Tango,,"Roberto Florio, Roberto Rufino",Carlos Russo,Tango,Roberto Rufino,Orquesta,Omar Valente,1981 Buenos Aires Micronda 5037-A,,
6172,Tabernero (El tabernero),Tango,1927,"Fausto Frontera, Miguel Cafre",Raúl Costa Oliveri,Tango,Carlos Gardel,Guitarras de Barbieri y Ricardo.,,16-12-1927 Barcelona Odeon 18955 SO-4557,02:35,769
6173,Tabernero (El tabernero),Tango,1927,"Fausto Frontera, Miguel Cafre",Raúl Costa Oliveri,Tango,Francisco Fiorentino,Orquesta,Aníbal Troilo,28-5-1941 Buenos Aires RCA-Victor 39229 39880,03:19,612
6174,Tabernero (El tabernero),Tango,1927,"Fausto Frontera, Miguel Cafre",Raúl Costa Oliveri,Tango,Enrique Campos,Orquesta,Francisco Rotundo,31-1-1952 Buenos Aires Odeon 55393 18343,,
6175,Tabernero (El tabernero),Tango,1927,"Fausto Frontera, Miguel Cafre",Raúl Costa Oliveri,Tango,Francisco Fiorentino,Orquesta,José Basso,27-5-1949 Buenos Aires Odeon 30752 17303,,
6176,Tabú [b],Milonga,,Ernesto Rossi,Justo Ricardo Thompson,Milonga,Mario Pomar,Orquesta,Antonio Rodio,11-5-1943 Buenos Aires Odeon 7600 12755,,
6177,Tachero de mi ciudad,Tango,,Alfredo De Angelis,Alberto Lago,Tango,Gigí De Angelis,Orquesta,Alfredo De Angelis,1980 Buenos Aires Microfón 60129,,
6178,Taconeando,Tango,1930,Pedro Maffia,José Horacio Staffolani,Tango,Carlos Gardel,Orquesta,Francisco Canaro,26-10-1931 Buenos Aires Odeon 18857 6915,03:15,852
6179,Taconeando,Tango,1930,Pedro Maffia,José Horacio Staffolani,Tango,Juan Carlos Casas,Orquesta,Pedro Laurenz,16-6-1942 Buenos Aires RCA-Victor 39635 69764,,
6180,Taconeando,Tango,1930,Pedro Maffia,José Horacio Staffolani,Tango,Francisco Fiorentino,Orquesta,Pedro Maffia,1930 Buenos Aires Columbia Record 6021-A,,
6181,Taconeando,Tango,1930,Pedro Maffia,José Horacio Staffolani,Tango,Instrumental,,Aníbal Troilo,1955 Buenos Aires T.K. SF30011 1090,,
6182,Taconeando,Tango,1930,Pedro Maffia,José Horacio Staffolani,Tango,Instrumental,Orquesta,Osvaldo Pugliese,1970 Buenos Aires Philips 5912 09.1970,,
6183,Tahiti,Tango,,A.J. Pesenti,,Tango,Instrumental,Orquesta,A.J. Pesenti,1932 París Columbia DF-946,03:16,7654
6184,Tahur,Tango,,Joaquín Mora,Libardo Parra Toro,Tango,Alberto Podestá,Orquesta,Joaquín Mora,1960 Colombia Sonolux,02:34,1118
6185,Tal vez (Adiós en flor),Tango,,Juan Schellemberg,José Arenas,Tango,Roberto Rufino,Orquesta,Miguel Caló,27-9-1966 Buenos Aires Odeon LDB-114 32813,,
