,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
1066,Carillón de La Merced,Orquesta Rodolfo Biagi,Jorge Ortiz,1941-09-26,Buenos Aires,Tango,Enrique Santos Discépolo,"Enrique Santos Discépolo, Alfredo Le Pera",1931,Odeon 5625 11458,
1067,Carillón de La Merced,Orquesta Pedro Maffia,Francisco Fiorentino,1930,Buenos Aires,Tango,Enrique Santos Discépolo,"Enrique Santos Discépolo, Alfredo Le Pera",1931,Columbia Record 6027-A,
1068,Carillón de La Merced,Orquesta Carlos García,Oscar Alonso,1974,Buenos Aires,Tango,Enrique Santos Discépolo,"Enrique Santos Discépolo, Alfredo Le Pera",1931,RCA-Victor LZ-1299 CAAY-4425,
1069,Carillón de La Merced,Orquesta Armando Pontier,Roberto Goyeneche,1979,Buenos Aires,Tango,Enrique Santos Discépolo,"Enrique Santos Discépolo, Alfredo Le Pera",1931,RCA-Victor,784
1070,Cariñito mío,,Carlos Gardel,1926,Buenos Aires,Tango,Francisco Martino,Francisco Martino,,Odeon 18183 4551,7664
1071,Cariño,Guitarra de Claudio Parenti,Estela Bonnet,,,Tango,Luis Rubistein,Luis Rubistein,1940,,7271
1072,Cariño [c],Orquesta Francisco Canaro,Roberto Maida,1936-08-01,Buenos Aires,Vals,"Francisco Canaro, Antonio Botta","José González Castillo, Luis César Amadori",,Odeon 5001 8726,1406
1073,Carmen [b],Orquesta Osvaldo Pugliese,"Jorge Maciel, Abel Córdoba",1965,Buenos Aires,Milonga,Fulvio Salamanca,Fulvio Salamanca,,Philips 82119 10.1966,
1074,Carmín,Con guitarras Julia Vidal,Julia Vidal,,,Tango,Víctor Buchino,Marsilio Robles,1953,,5627
1075,Carmín,Orquesta Aníbal Troilo,Jorge Casal,1954,Buenos Aires,Tango,Víctor Buchino,Marsilio Robles,1953,T.K. S 5259 663,
1076,Carnaval,Orquesta Alfredo De Angelis,Carlos Dante,1946-03-01,Buenos Aires,Tango,Anselmo Aieta,Francisco García Jiménez,1927,Odeon 3793-B 15337,
1077,Carnaval,,Luis Cardei,1995,Buenos Aires,Tango,Anselmo Aieta,Francisco García Jiménez,1927,G 001,
1078,Carnaval [b],Orquesta José Lucchesi,Instrumental,,,Tango,"José Lucchesi, E. Fuggi",,,,1967
1079,Carnaval [c],Orquesta Aníbal Troilo,Edmundo Rivero,1947-07-04,Buenos Aires,Candombe,"Francisco Rotundo, Ernesto Rossi",Pedro Blasco,,RCA-Victor 60-1367 83518,
1080,Carnaval [c],Orquesta Francisco Rotundo,Julio Sosa,1953-06-26,Buenos Aires,Candombe,"Francisco Rotundo, Ernesto Rossi",Pedro Blasco,,Pampa 14068 MAI-1128,
1081,Carnaval de antaño,Sexteto Carlos Di Sarli,Instrumental,1929-03-27,Buenos Aires,Tango,Sebastián Piana,Manuel Romero,,RCA-Victor 47054 44488,
1082,Carnaval de las musas,Dúo Musas orilleras,Instrumental,2015,Buenos Aires,Milonga candombe,Fabián Nesprías,,,Melopea CDMPV 1247,7643
1083,Carnaval de mi barrio,,Dante Ressia,,,Tango,Luis Rubistein,Luis Rubistein,1938,,3670
1084,Carnaval de mi barrio,Orquesta Ángel D'Agostino,Rubén Cané,1954-02-19,Buenos Aires,Tango,Luis Rubistein,Luis Rubistein,1938,RCA-Victor 68-1516 SO-1986,
1085,Carnaval de mi barrio,Orquesta Ángel Vargas dir: Edelmiro D'Amario,Ángel Vargas,1956-08-03,Buenos Aires,Tango,Luis Rubistein,Luis Rubistein,1938,RCA-Victor 68-2439 SO-5059,
1086,Carnavales de mi vida (Mosca muerta),Orquesta Ángel D'Agostino,Tino García,1951-12-18,Buenos Aires,Tango,Juan Carlos Cobián,Enrique Cadícamo,,RCA-Victor 60-0203 94444,
1087,Carnavalito,Orquesta Lucio Demare,Raúl Berón,1943-01-09,Buenos Aires,Arr. en milonga,"Machingo Ábalos, Adolfo Ábalos","Machingo Ábalos, Adolfo Ábalos",,Odeon 8061 12476,
1088,Carpincho [b],Orquesta Pedro Maffia,Luis Díaz,1930,Buenos Aires,Tango,José Consani,José Consani,,Brunswick 1413-A,
1089,Carrasco,Orquesta Ricardo Tanturi,Carlos Ortega,1938-06-09,Buenos Aires,Marcha,Ricardo Tanturi,Carlos Ortega,,Odeon 7131 9442,
1090,Carriego,Orquesta Miguel Caló,Roberto Arrieta,1948-01-05,Buenos Aires,Tango,Roberto Nievas Blanco,Julio Jorge Nelson,,Odeon 30022 16833,
1091,Carro viejo,Orquesta Alfredo De Angelis,Julio Martel,1949-12-13,Buenos Aires,Tango,Fernando Montoni,Máximo Orsi,1927,Odeon 30428-B 17520,
1092,Carro viejo,Trío Enrique Delfino,Sofía Bozán,1930-03-13,Buenos Aires,Tango,Fernando Montoni,Máximo Orsi,1927,Nacional Odeon 11704-A 5234/1,3818
1093,Carta para Renée,Orquesta Alfredo De Angelis,Roberto Mancini,1963-07-25,Buenos Aires,Tango,Manuel Sucher,Marvil,1963,Odeon 7004-A 29319,
1094,Carta para Renée,Orquesta Miguel Caló,Alberto Podestá,1963-05-17,Buenos Aires,Tango,Manuel Sucher,Marvil,1963,Odeon LDI-545 29003,
1095,Cartas viejas,,Carlos Gardel,1930-04-15,Buenos Aires,Tango,Manuel García Servetto,Ray Rada,1929,Odeon 18810 5428/1,843
1096,Cartas viejas,Trío Alejandro Scarpino,Ángel Vargas,1954-10-20,Buenos Aires,Tango,Manuel García Servetto,Ray Rada,1929,RCA-Victor 68-1870 SO-3453,
1097,Cartón junao,Orquesta Juan D'Arienzo,Alberto Echagüe,1947-08-08,Buenos Aires,Tango,"Juan D'Arienzo, Héctor Varela",Carlos Waiss,1947,RCA-Victor 60-1405 83578,1678
1098,Casas viejas,Orquesta Francisco Canaro,Roberto Maida,1935-08-18,Buenos Aires,Tango,Francisco Canaro,Ivo Pelay,1935,,586
1099,Casas viejas,Orquesta Alberto Di Paulo,Nelly Omar,1983-07-18,Buenos Aires,Tango,Francisco Canaro,Ivo Pelay,1935,Magenta 12.001,
1100,Cascabelito,Orquesta Ángel D'Agostino,Ricardo Ruiz,1953-02-02,Buenos Aires,Tango,José Bohr,Juan Andrés Caruso,1924,RCA-Victor 68-0592 SO-0383,3064
